Year,Land use category,Land use,Irrigation,Sources,GHG sequestration (Mt CO2e)
2020,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2020,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2020,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2020,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2021,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Summer oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2021,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2021,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2021,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2022,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2022,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2022,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2022,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2023,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2023,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2023,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2023,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2024,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2024,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2024,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2024,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2025,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2025,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2025,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2025,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2026,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2026,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2026,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2026,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2027,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2027,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2027,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2027,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2028,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2028,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2028,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2028,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2029,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2029,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2029,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2029,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2030,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2030,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2030,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2030,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2031,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2031,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2031,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2031,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2032,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2032,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2032,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2032,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2033,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
